country,city,product_name,product_category,campaign_channel,budget_spent,impressions,clicks,conversion_rate,units_sold,campaign_date
brAziL,R   oma,P.C._Toner,skincare,Email@,,280025,2740881,??,beaucoup,Sep 4 2024
france?,,Hydra_   Cream,electronics,insta,,230889,1118,??,297993,2025-07-24
JAPAN,,hydracream?,electronics,TiKtOK,$20712.64,15929,15269,34.1%,beaucoup,18/3/2099
JAPAN,T0kYo,Glow_Serum,Skincare,,12979.34,N/A,,,beaucoup,18/04/24
Kanada,Roma,GlowSerum!!,beauty,GoogleAds,8005.5 €,244273,??,??,beaucoup,5/14/2099
FRANCE,rome,Glow_Serum,,instagram$,12 789.27,N/A,2593009,"0,1557",742655,17/08/23
Germa   ny,to   kyo,GLOW S   ERUM,electronics,tiktok,15 698.40,-1165,788,,0,
,rome,HYD   RA CREAM,??,E-mail,21735.47 €,112007,12785,??,664,25/12/24
,rome,GlowSerum,beauty,inStAgraM,,205682,10869,??,0,01/03/25
unknown,Rome,PURECLEA   N TONER,beauty,insta#,23 109.42,385459,4176827,0.221,88720,2024-10-27
USA,neW yoRk,PuRECleAN tONeR,SKINCARE,billboard,11494.03,N/A,2156262,"0,3208",86,08/10/23
Japa   n,SAOPAULO?,P.C. Toner$,SKINCARE,TikTok,budget non communique,-2266,2306336,14.3%,0,
ITALY,Paris,PURECLEAN TONE   R,SKINCARE,iNSTaGRAM,,,9301,??,0,2025-09-25
??,sao_paulo,Pure_Clean_Tone   r,beauty,tik_tok,8577.51 €,295574,??,6.9%,374232,2/6/2099
Italie,###,Pure_Clean_Toner$,skincare,TikTok%,24767.42,314938,4689227,,289,
USa,   S√£o Paulo,HydraC   ream,Beauty ,Billboard,12551.0 €,-548,??,26.6%,-6,
C   anada,madrid   ,PureCleanToner,,insTaGRam,20216.94,196122,3864436,,-5,07/11/24
france%,Madrid,HyDRA_CrEam,electronics,E-mai   l,17767.16,,,??,0,
Usaa,To   kyo ,HydraCr   eam,Beauty ,FB?,14651.96,34247,1241099,"0,148",87,
JappAN,BERLIN,GlowSerum$,,tik tok,17214.65 €,N/A,19976,,beaucoup,9/15/2099
Germany,Tokyo,gloWsERuM,beauty,instagram,23242.77 €,-1839,??,??,119187,13-03-2024xx
usa,Paris,GLOW SERUM,SKINCARE,facebook!!,11091.89 €,,??,"0,1688",-11,
GERmany,S√£o Paulo,Gl0wSerum,SKINCARE,billboard!!,budget non communique,442046,??,0.0888,0,19/12/24
Fr@nce,B3rlin,Hydra_Cream,Beauty ,??,$14602.09,N/A,??,,0,Jun 27 2024
Usaa,BERLIN,Hydra_Cream   ,beauty,tiktok,,77119,12657,"0,2147",beaucoup,2023-04-11
usa,rome,glows   erum,electronics,insta,$12546.02,N/A,??,"0,0442",-16,16/09/25
GErMNy,PARIS   $,hydracream!!,??,insta,13 845.66,-2166,,??,186352,Sep 23 2024
France,Tokyo,HydraCream,electronics,email,10 226.55,N/A,3459,"0,0613",beaucoup,
Braz   il,B   erlin,Hydra_Cream,Beauty ,tik tok!!,17 308.99,-4423,,0.296,0,
BRAZIL @,tokyo#,Pure_Clean_Toner?,skincare,??%,,,9595,??,0,11/15/2099
SPain,neW_York,P.C._Toner,,Billboard%,,,,0.0641,beaucoup,20/11/23
Spain,__Paris,Pure_Clean_Toner,,insta?,6 586.68,N/A,??,13.1%,0,Aug 27 2025
BRA   ZIL ,paris,P.C. Toner,skincare,INSTAGRAM,,N/A,,20.1%,408986,26-04-2023xx
spain   ,Tokyo,HyDra_crEAM,,TikTok,391.36,N/A,,"0,0674",295,Jan 17 2023
brazil?,New_York@,pureclean toner@,skincare,tiktok,$21036.93,,3592644,??,155,24/9/2099
Fr@nce,nEw yORK,Hydra_Cream!!,??,tiktok?,6583.96 €,60640,??,0.2851,410,May 20 2025
Italie,Berl   in,h   ydracream,,,budget non communique,144556,,19.4%,0,
ca   nada,Roma,HYDRA_CREAM,skincare,GoogleAds%,1003.03,,2385,??,-2,12/02/25
Spain@,TOKYO$,Glow_Serum,SKINCARE,Billboard$,,,4376258,,beaucoup,
Fr@n   ce,TokYo,Hydra_Cream,electronics,E-mail,24 053.45,443871,??,0.2304,0,33/8/2099
Fr@nce,TokYO ,PureClean_Toner,skincare,instagram,$4038.13,N/A,,,649958,4/6/2099
brazil$,newyork,pureclean_toner,SKINCARE,GoogleAds,,436189,,,-4,2025-09-12
UsA,unknown city,glowserum,skincare,BilLBOArD,14802.0,,4852,,-14,2023-10-15
U.s.a,madrid,Hydra_Cream,??,FB!!,$12566.04,-2869,??,,-20,
Spain,Paris,P.C. Toner%,,billboa   rd,8981.43,123061,??,17.0%,331198,2024-11-13
U.S.a,,GlowSer   um,Skincare,email   ,24787.18 €,,,"0,3323",151420,35/3/2099
canada%,PARIS___,glOWseruM!!,SKINCARE,tik tok   ,19880.9,360259,3276443,??,-30,23/10/23
Japan,New York,Hydra_Cream,electronics,INSTAGR   AM,budget non communique,221552,3649497,,256,18-04-2023xx
FRANCE,,   PureClean Toner,,instagram?,$14322.53,137263,10109,"0,0151",-1,Mar 4 2025
Brasil@,B3rlin%,GLOW SERUM!!,SKINCARE,tik tok$,,-3187,2786203,??,0,Nov 10 2023
N/A,sao_pa   ulo,pureclean tone   r,furniture,tIktOK,23411.64 €,397512,??,0.2346,-40,24/09/25
GermANY,rOMe,HydraCream,,GoogleAds,7 771.29,4727,4493909,29.7%,-35,
,,,,,,,,,,
GeRmnY,TOKYO,HydraCr3am,,Billboa   rd,22587.56 €,,1280242,10.6%,beaucoup,26-01-2023xx
Brazil,TOkYo,hydracream,beauty,google_ads,19 380.80,231827,16910,0.2801,beaucoup,Jun 22 2024
Fr@nce?,ROME,HYDRA CREA   M,,ema   il,budget non communique,353082,??,33.0%,425619,2024-02-03
FRANCE,New York%,HYDRA CREAM!!,electronics,E-mail!!,12740.49,N/A,4994258,2.6%,708231,29/8/2099
   ITALY,T0kyo,GlOwserUm!!,Skincare,google ads,22528.04 €,-1573,7980,,203683,06-08-2023xx
france,  Paris,HYDRA_CREAM,beauty,insta,20115.0 €,-1935,,"0,2913",488,Oct 21 2023
france,P@r   !s,pureclean toner,furniture,email,budget non communique,N/A,1674920,??,0,
geRMny,BERLIN$,PureClean_Toner,,Email#,budget non communique,381727,7128,,beaucoup,
,Paris,Pure   CleanToner,beauty,insta   gram,10229.08 €,,17722,"0,1509",-41,Apr 11 2025
Usa   a,P@r!s,GlowSerum,skincare,tiktok,13 072.27,83246,,"0,0355",771196,13-03-2025xx
FR@NCe,R   0me,HYDRA CREAM,,fB,budget non communique,-2978,,0.0563,168104,11-03-2025xx
Kanada#,,p   ureclean toner,skincare,facebook,18105.73 €,N/A,14478,"0,1552",0,2025-04-23
??,Madrid,hydracream,,facebook?,11 557.60,-3104,2766784,,472,Sep 1 2025
  Ita   ly,N3w_Y   0rk,PureClean Toner?,,,,-1273,12572,"0,2306",293875,Sep 20 2025
can   ada,sãO PauLO,Pure_Clean_Toner,furniture,Email,23 203.22,N/A,2821133,"0,1992",0,24/5/2099
Bra   zil,  Pari   s,PureClean Toner@,SKINCARE,??   ,8927.1 €,-2625,,34.4%,552,2025-02-27
ITALY   ,New_York,HydraCr3am,skincare,fACeBOOK,,-299,1578,0.1205,beaucoup,2024-12-14
Deutschland,   Berlin,Pur   eClean Toner,beauty,E-mail!!,,8782,??,3.6%,-19,
UsA,New YOrK,Glow_Serum,SKINCARE,facebook,12169.31,,,??,beaucoup,2024-11-02
n/a,BerLin,hydracream,Beauty ,google ads%,2937.24,-4616,2496531,,207,Jul 10 2023
brazil,Sao Paulo   ,Hy   draCream,electronics,??$,,-420,,"0,1509",-25,8/14/2099
   ??,Sao_Paulo,PureClean Toner!!,furniture,Instagra   m,20026.46 €,189849,3619216,"0,1382",0,
BrAzIL,tokyo,HYDRA_CREAM,??,tik tok,$23992.63,270457,4050826,2.4%,beaucoup,Jan 1 2024
France?,###,gLOwsERuM!!,electronics,instagram,budget non communique,,,29.0%,beaucoup,13/04/24
brAzil ,NeWYorK,PURECLEAN TONER?,beauty,eMAIL,budget non communique,-1074,,14.4%,-50,01/09/24
Spain#,Rome,Gl0wSerum,skincare,facebook!!,12 632.70,,,??,-50,Sep 22 2025
USA$,sao_paULo,PURECLEAN_TONER,furniture,??,17054.69 €,-1789,13276,0.145,0,
,toronto,Gl0wSerum!!,,Instagram#,$16726.13,-3080,7938,"0,2214",240352,
  ITAly,rome,Pure_Clean_Toner,furniture,E-MAiL,budget non communique,323761,1236693,??,456,14-11-2024xx
ITALY,Paris,GlOWSErUM,,google_ads,7 867.41,241579,,,beaucoup,2025-03-03
,rome,HydraCream,,GoOgle aDS,10 382.72,462931,4213118,,972552,Apr 28 2023
Fr@nce@,tokyo?,Gl   owSerum,skincare,tik_tok,14425.09 €,-4969,??,??,579309,2024-02-12
ITALY!!,BERliN,Pure_Clean_Toner,,??!!,10795.52 €,67270,18726,,752,
Sp   ain,maDRID ,HydraCream,,i   nsta,budget non communique,,,0.0507,0,42/10/2099
Spain@,Sao Paulo$,GlowSerum!!@,electronics,Instagram$,budget non communique,155174,16054,??,405,
usa!!,Madrid?,glowserum,,INstAgRaM,budget non communique,407766,2350285,27.5%,0,16/5/2099
Germny,   R0me,GloWSErum,Skincare,in   sta,$11530.08,N/A,15304,??,beaucoup,01-12-2024xx
italy,Berlin,hydracream,electronics,Go   ogleAds,,117622,13604,,754,17-10-2023xx
spain,Sao Paul   o,HydraCream,electronics,billboard,$17643.47,472473,,14.3%,223313,4/7/2099
ItAlY,Paris$,PureCle   anToner,SKINCARE,facebook,20192.61 €,430010,,9.6%,52708,2024-05-25
BRAZIL #,Roma$,Pure_Clean_Toner,furniture,F   B,11 757.13,,,24.4%,311075,2023-05-06
Deutschland,Tokyo ,P.C._Toner,skincare,??,,380343,4736369,"0,0905",-32,
spain,  paRIS,HydraCr3am,,TIk Tok,13274.77,,18882,,-10,2024-11-16
spain@,berlin?,HydraCr3am#,Beauty ,??#,budget non communique,N/A,??,1.9%,471600,18/5/2099
Brazil,P   aris,P.C. Toner?,,billboard,budget non communique,N/A,5745,??,beaucoup,09-02-2025xx
BRAZIL %,TOKYO,PURECLEAN_TONER,skincare,TikTok,23 030.96,148422,15568,"0,0457",0,Oct 15 2023
  Italy,   B3rlin,glowserum,skincare,instagram,,-2074,??,0.0994,beaucoup,2025-02-10
spain@,Roma?,PureClean Toner!!,,tik tok,,306418,??,,beaucoup,38/3/2099
France,rome?,PUrEcleAn TOneR,beauty,billbo   ard,budget non communique,N/A,??,,842313,05/12/25
U.S.A,tOkYo,glowserum,Skincare,EMaIl,budget non communique,,5643,??,571,02/10/25
Deutschland@,madrid,GloW_SeruM,electronics,,budget non communique,,3793571,0.1189,978642,05-03-2023xx
J   APAN,NEW_YORK,PureCleanToner?,,insta,16288.8,,1561877,,beaucoup,25-08-2023xx
Usaa   ,toronto%,HydraCr   3am,skincare,insta   ,budget non communique,8977,,0.3006,-31,May 28 2024
germany,NEW YORK,Gl0wSerum,beauty,GoogleAds,$13489.52,,3030976,"0,2262",0,15-02-2024xx
Ital   ie,toronto,HydraCrea   m,electronics,email,budget non communique,N/A,??,14.7%,-17,17/10/2099
spain,São Paulo?,GlowSerum,beauty,INSTagrAM,,,19294,28.4%,603,
  Italy@,unknown_city,hYDRACR3AM,,tiktok%,21594.82,,4464863,"0,2273",0,Jun 1 2025
BRAZIL ,nEw YORk,PureClean_Toner,,tiktok,14216.95,N/A,,??,448448,01/03/25
brazil$,R0me,PureCleanToner,skincare,Instagram,3 594.72,-4398,7003,,0,
Franse?,toroNto,Gl0wSerum?,skincare,billboard,$17691.02,171918,15810,,0,15/4/2099
BRAsil,BERLIN@,Hydra   Cr3am,??,e-MAIl,budget non communique,-3174,??,32.9%,0,
FRaNCE,R0me@,HydraCr3am$,skincare,insta!!,,N/A,??,??,345,2025-12-21
Germny%,Sao Paulo,hydracream?,skincare,google ads,,207635,4803757,,486,16/03/23
Usaa,Rome!!,PURECLEAN TON   ER,SKINCARE,fb,budget non communique,331321,,3.3%,0,2025-02-14
france,rome,Hyd   raCr3am,,InSta,,N/A,13533,0.0888,191,22-04-2023xx
??,Paris,HydraCr3am,skincare,FB,budget non communique,-471,,3.2%,145,40/5/2099
JAPAN@,NEW_YORK,HydraCr3am,beauty,INSTAGRAM,,468976,??,,698,
N/A,Rome,GlowSerum!!@,,,budget non communique,-3627,??,,-42,33/5/2099
N/A,rOME,P.C. Toner,furniture,EmaIL,$12663.6,132348,??,??,-28,22/04/25
Deutschland?,Ber   lin,HyDRA CrEam,??,INSTAG   RAM,24384.44,361873,11239,11.7%,-39,Apr 9 2023
cana   da,maDrId ,PUReCleAN tOner,furniture,E-ma   il,$11866.72,N/A,9200,"0,0165",0,
canada,rome,Glow_Serum,,tik    tok,930.27 €,25193,,??,0,21-11-2024xx
ItALY,tor   onto,PUrecLEAN TonER,furniture,E-mail,3794.89,187140,,0.1162,132,
BRAZIL,BERLIN#,HydraCream,,billboard,budget non communique,187906,1547,20.9%,0,May 21 2023
eSPaNA,madrid?,PureCleanToner,skincare,GoogleAds#,,-2742,1185,15.1%,0,2024-10-18
Spain?,newyo   rk,hydracream$,Beauty ,billboard?,budget non communique,318439,13547,,0,12-06-2025xx
Brasil,P@r!s,HYDRA CREAM%,electronics,tik tok,,N/A,16305,0.188,0,26/04/23
usa,tokyo,hydracream#,electronics,gOOGle aDS,$15239.6,N/A,??,28.4%,0,6/1/2099
N/A,T0k   yo,hyDrACrEAM,electronics,iNsTa,22167.42 €,-4337,4720975,32.3%,698521,
spain!!,Tokyo!!,PureClean_Toner,SKINCARE,GooGLEaDs,6467.86 €,N/A,1511658,??,882610,11-05-2023xx
france,Madrid@,PURECLEAN TONER!!,skincare,facebook,,,,0.3182,beaucoup,15/03/24
JApPAn,paRis,glowserum,skincare,email,$18793.66,148667,4440117,,0,18/02/24
BRAZIL_,T   oronto,GLOW_SERUM,SKINCARE,e-mail,budget non communique,,??,17.8%,0,2023-09-18
Espa√   ±a,tokyo%,Hydra_Cream,beauty,INSTAGRAM#,7 777.46,,6701,,81,Jun 6 2023
un   known,New_York,PURECLEAN_TONER,SKINCARE,FB,budget non communique,450961,933903,0.1665,770319,26/05/23
U   saa,tokyo,GLOW SE   RUM,SKINCARE,google a   ds,$8568.15,-4291,??,??,-42,05/06/25
Franse,  pAris,gL0WSerum,skincare,Instagram,$8535.96,N/A,4955878,??,326942,16/03/25
,Roma   ,pUreCLEaN toNER,SKINCARE,INstAgRam,15 427.33,439505,??,,246,2023-03-01
,Roma@,GlowSerum,,insta#,3332.97 €,139124,5676,,0,22-10-2023xx
Usaa,NEW YORK%,PureClean_Toner,SKINCARE,,8459.78 €,169809,7099,"0,2722",0,27/06/23
Brasil,berlin,hydracream!!,,E-mail$,19270.33,,,,0,Dec 28 2023
JAPAN,Tokyo%,hydracream#,beauty,email,budget non communique,489744,3726930,??,22,Dec 17 2024
IT   ALY,,Pu   re_Clean_Toner,,email,13403.6 €,,,0.1755,beaucoup,13-07-2024xx
italy,BErLiN,HYdRAcR3AM,,TikTok,14007.74,332544,6855,??,0,20-08-2023xx
N/A   ,pARIS,HYDRA CREAM?,beauty,Instagram,,N/A,5094,??,beaucoup,
Japan,Paris?,glOw_SeRUM,SKINCARE,Billboar   d,11258.19 €,N/A,,"0,0962",-50,17/07/24
USA@,berlin,HydraCream,??,tik_tok,1824.45 €,323102,7021,4.1%,-11,
Fra   nce,madrid,PureCleanToner,beauty,billboard@,$18261.14,,15024,0.0151,571866,21/8/2099
FRANCE,B   3rlin,PureCleanToner,beauty,facebook,budget non communique,219482,13527,??,-12,28/04/24
Canada,paris%,PureClean_Toner,SKINCARE,FB   ,budget non communique,201468,2417,1.3%,230404,42/5/2099
Jap   an,madrid%,Gl0wSerum,skincare,   TikTok,2158.48,,,??,beaucoup,
FrANCE,#   ##,hYdrAcR3aM,Beauty ,E-mail#,$17920.37,163628,,??,0,02-12-2025xx
USA#,BERLIN,glowserum,electronics,FB,,435741,3425,"0,2401",0,7/2/2099
brazil$,R0me,PureCleanToner,skincare,Instagram,3 594.72,-4398,7003,,0,22/08/24
Fr@nce,berlin?,Hydra_Cream,,t   ik tok,budget non communique,274060,,,182822,Apr 2 2024
Germany,unkn   own city,Glow_Serum,electronics,email@,6290.6 €,31243,4512,0.2322,325,2025-03-12
   FRANCE,t   okyo,Pure_Clean_Toner,SKINCARE,F   B,,224758,3191179,"0,1012",0,Jun 14 2024
Canada$,S√£o_Paulo,Gl0wSe   rum,beauty,Email!!,$9173.26,13527,14109,,595223,2024-01-17
France#,S√£o pAuLO,glowserum,,tiktok!!,,425634,,??,0,04-04-2024xx
USA#,MADRID ?,GLOW SERUM,Skincare,facebook,$24662.53,-3575,4275,,0,Jun 7 2024
usa?,,GLOW_SERUM,,email   ,13 765.21,5361,??,15.1%,-48,02-08-2023xx
Braz   il,###!!,Glo   w_Serum,skincare,GooGlEADs,budget non communique,N/A,15470,,57,Jan 13 2024
canada,Ro   me,PureClean_Toner,beauty,,17 768.77,-2159,7613,25.6%,685,
canada!!,TorontO,PurEclEANtoNer,skincare,I   nstagram,budget non communique,61926,,,179,14-11-2023xx
,,,,,,,,,,
USa,   S√£o Paulo,HydraC   ream,Beauty ,Billboard,12551.0 €,-548,??,26.6%,-6,
Bra   sil,,HYDRA_CREAM,??,INStAgram,10 973.45,N/A,2974907,23.5%,0,12/14/2099
U.S.A,   TOKYO,HydraCre   am,,Instagram@,12153.04,,9077,,853349,28-02-2025xx
Franse   ,unknown_city,Gl   0wSerum,skincare,INSTAGRA   M,,312563,,"0,1",0,Jul 21 2025
BR   AZIL ,Tokyo?,PureClean Toner?,furniture,??,budget non communique,211103,,5.0%,0,40/6/2099
Fran   se,,PURECLEAN TONER,furniture,TiK toK,,-586,??,"0,2822",0,
,TOR   ONTO,Hydra_Cream$,skincare,instagram?,,N/A,,,-49,19/7/2099
france,Toronto,HYDRA    CREAM,,E   mail,budget non communique,6013,,??,165,18/05/24
gErMaNY,Madrid$,GlowSerum,skincare,Instagram,,,??,??,-18,
France,New York,gLOWSERum!!,Skincare,GoogleAds,1 295.04,N/A,4351,??,beaucoup,2023-07-05
Canada,T0kyo,gloWSerUm!!,Skincare,instagram!!,477.75,,3916575,??,0,2023-05-18
Brasil,R0me,PureCleanToner$,SKINCARE,Bi   llboard,,,2853968,"0,2774",0,34/1/2099
Germny!!,rOme,Gl0wSerum,skincare,GoogleAds?,24663.59 €,-1228,4201,0.1535,517350,27/12/25
??,sao_pa   ulo,P.C. tonEr,skincare,facEbOoK,7799.29,,??,0.2453,-29,2023-05-06
Brazil,Tokyo   ,HydraCr3am!!,Beauty ,emaIL,3 759.95,353485,??,,-40,2024-10-27
Franse,S√£o    Paulo,Gl0wSerum,SKINCARE,E-mail?,13 662.04,-3575,7616,0.3199,beaucoup,
canaDA,paris,glowserum,electronics,INSTAGRAM%,budget non communique,479370,3002466,??,717694,11-03-2024xx
u.s.a,S√£o Paulo?,HydraCream!!,,??,$19261.03,122078,??,??,235,Oct 9 2025
,rom   e,Gl0wSerum,electronics,Instagram?,budget non communique,496462,2650,??,607,04/06/24
JAPAn,b3RLIn,Pure_Clean_Toner   ,,billboard,budget non communique,-3704,1256346,17.1%,-32,2025-11-02
USA,PARIS   ?,Hydra_Cream,Beauty ,google ads%,13200.31 €,-1839,??,,566002,14-07-2024xx
canada%,Rome,Glow_Serum,beauty,google_ads,10458.28,N/A,??,0.0059,0,17/2/2099
France,Madrid#,GL0wsErUm,Skincare,FB,2270.68,269132,??,,410,2024-06-12
,São Paulo,GlowSerum,beauty,InStagraM,$12211.7,105249,16966,??,262667,27-04-2024xx
JAPA   N,Berlin,GLOW SERUM,electronics,inst   a,$20092.59,,??,"0,2563",beaucoup,05/02/24
N/A,new YoRk,PURECLEAN_TONER,skincare,Billboard$,$4846.23,-2007,2260327,"0,3487",0,04/09/24
   japan,S√£o_Paulo,pureclean_toner,beauty,insta,budget non communique,-3604,14033,0.0338,180622,20/05/24
ital   y,Toronto#,glOW sERuM,,Billboard,$2247.88,257139,8967,??,701347,20-09-2023xx
Franse   ,TORONTO,P.C. Toner,beauty,BilLboARd,22099.75 €,440258,,,-35,Jan 26 2025
N/A   ,New York,Pure_Clean   _Toner,furniture,tik tok$,$13872.55,-4905,8487,"0,3232",beaucoup,2025-10-06
BRAZIL ,NEW_YORK,hydracream,??,email,19 477.73,-2260,,??,236346,May 17 2023
Germny@,New_York,Pure_Clean_Toner,beauty,InsTa,14845.37,N/A,6720,,50,2024-11-16
   Germany,Rome?,P.c. tONER,skincare,tiktok,2185.96 €,-3732,3414790,"0,266",beaucoup,Apr 26 2023
USA,,Pure_Clean_Toner,SKINCARE,BiLlBoArD,15496.92 €,,12735,4.0%,beaucoup,13-01-2023xx
fRANce,t0KYo,HydraCr3am!!,??,,6263.79 €,36874,??,,330,Jun 24 2024
FRANCE,,PURECLEAN TONER,skincare,GoogleAds,$2540.9,142994,10941,28.5%,69871,2025-10-01
geRMNy,S√£o Paulo%,GlowSerum$,,TikTok,$6272.49,N/A,13474,0.0013,-47,12-08-2025xx
,,,,,,,,,,
jApPAn,NEWyoRK,hydRa cREaM,Beauty ,Instagram#,,,17617,0.1468,-43,2025-10-09
FRANCE,,HYdRaCr3AM,beauty,goOGleads,,N/A,3199,,266364,2024-06-24
Italie,NEW_YORK,GlowSerum!!,beauty,tiktok,8499.41,106824,2852,??,-27,25-04-2023xx
United States@,Madrid,Gl0wSerum,Skincare,facebook,,-800,2230,??,258,19/07/23
brazil,,HydraCream!!,??,billboard%,budget non communique,215689,3043594,0.3283,-37,
germany,SAOPAULO,glowserum!!,beauty,billboard$,budget non communique,400621,6440,,732,05-10-2023xx
Germa   ny,Madrid,PureCleanToner,,INSTAGRAM,16 611.83,N/A,16212,23.0%,beaucoup,Jan 1 2024
??,S√£o Paulo!!,gLOWSERum,Skincare,email,$3642.97,,,3.3%,403515,
Germany,p@R!S,PureClean_Toner,skincare,instagram$,22618.83,,8485,,beaucoup,34/2/2099
Brazil,Berlin,Pure_Clean_Toner,SKINCARE,instagram,budget non communique,366481,,,-27,24/3/2099
Germ   ny,New_York@,HydraCr   3am,skincare,email,18555.17 €,,??,28.9%,0,15/10/24
spain,toronto,Pure_Clean_To   ner,furniture,googl   e ads,,N/A,,??,968712,
italy,TORONT   O,glowserum,Skincare,bIlLBOArd,23228.68 €,,14170,,0,Mar 22 2023
   JAPAN,r0mE,HYDrA CrEam,??,TIKtOk,13 097.00,-2416,3641882,0.1107,776167,
Brazil,New York,GlowSerum!!!!,SKINCARE,tikt   ok,$19279.23,-3958,,1.4%,beaucoup,2024-10-25
BRaZil ,BE   RLIN,pUre_CleAN_toNER,beauty,Instagr   am,$2677.53,119601,2826855,??,0,
SpaiN,P@r!s,PUREC   LEAN TONER,,???,,N/A,,,0,37/7/2099
canada,rOMe,PURECLEAN TON   ER,,inst   a,,235536,??,0.2668,-2,08/11/24
canada,Toronto!!,PureClean Toner,beauty,TIk TOk,16667.08,N/A,??,0.0832,-10,
Jappan!!,MADRID !!,HYDRA CREAM!!,??,GoogleAds,1 865.31,223147,,0.2023,-49,13-05-2023xx
Esp   a√±a,N3   w_Y0rk,HydraCr3am,electronics,google_ads,budget non communique,15837,3822,19.9%,-41,21/02/24
FRANCE,MADRID @,puRECLeANTOnEr,furniture,google ads,budget non communique,,3527030,"0,1426",beaucoup,08/03/23
spain,Tokyo @,PureCleanToner,skincare,??,$14982.37,-2928,4960950,"0,2151",0,Feb 15 2023
ITALY$,rome?,pureclean toner#,skincare,i   nsta,14 573.64,494090,18125,32.7%,-15,Nov 3 2025
USA,,Pure_Clean_Toner,SKINCARE,BiLlBoArD,15496.92 €,,12735,4.0%,beaucoup,13-01-2023xx
i   taly,tokyo   ,HydraCr3am#,beauty,Email,,-3148,9596,"0,2509",0,27-04-2023xx
JAPAN#,###,Glow_Serum?,,FB,15 051.35,463212,11690,,beaucoup,32/1/2099
unknown   ,sÃo paUlO,GlowSerum,Skincare,google ads   ,,-1104,10406,??,402,May 26 2023
     Italy,R0me%,Hydra_Cream%,beauty,iNSTAGRaM,$13785.3,N/A,4776370,,756,
EsPANa,sao_paulo,pURecLeaN toner,beauty,??#,9 257.79,483123,9252,,-5,06-08-2024xx
US   A,ro   me,GLOW    SERUM,Skincare,E-mAil,budget non communique,,3024391,??,76,1/4/2099
FRANCE#,,Pure_Clean_   Toner,,google ads#,10721.27 €,N/A,5690,"0,3063",0,Apr 2 2025
ITALY,TORONTO,HydraCr3am$,beauty,E-mail,budget non communique,N/A,??,,341271,27/3/2099
Japan,paris,P.c. tONer,furniture,??,,N/A,2024944,20.4%,beaucoup,Jul 25 2025
Espa√±a,To   kyo ,GlowSerum!!,SKINCARE,Email,$11874.0,,8690,,794141,08/03/25
Japan,New York,Pure_Clean_Tone   r,SKINCARE,Billbo   ard,4795.14 €,245431,2440654,??,660575,Jun 13 2025
canada$,T0kyo?,GlowSerum!!@,skincare,   INSTAGRAM,16 011.94,-1923,16685,"0,1009",796,Aug 19 2024
italy,Berlin,gLow_SeRum,Skincare,Instagram,,300081,,0.0814,0,2025-03-13
Kanada,SAOPAULO,puReCLEaN Toner,furniture,facebook,20229.12 €,N/A,12006,6.7%,0,2024-12-03
Deutschl   and,p@R!S,HydRaCR3AM,Beauty ,BillbOaRD,budget non communique,23934,11153,0.1649,-15,08/08/24
ItaLy,  Paris,Glow_Serum!!,beauty,tiktok,budget non communique,153027,??,"0,3386",beaucoup,Oct 25 2024
canada,paris,hyDRa_cREAm,beauty,E-mail,,296315,,"0,3082",983310,Apr 15 2025
usa,Berlin   ,hydRa cReam,beauty,insta   ,,485181,18550,,-29,
GERmAnY,Tokyo@,hYdra_CreaM,skincare,GoogleAds,budget non communique,-1538,,,0,
N/A   ,São Paulo#,PURECLEAN TONER,skincare,facebook,13722.44 €,275759,,2.1%,-29,22/09/24
JAPAN,Ro   ma,HYDra_crEaM,??,E-mail#,$12385.13,-4001,5792,??,429,30/3/2099
Spa   in,S√£o PAuLo,PureC   lean Toner,SKINCARE,billboard,6 204.02,N/A,14915,"0,1481",-38,22/03/24
Japan,New York,GLOW_SERUM,beauty,?   ?,5618.85 €,-2979,19729,"0,2993",759817,
uSAa,rome,HydraCream$,,tik_tok,,,15517,0.085,0,2024-12-13
unknown%,MADR   ID ,Pure_Clean_Toner!!,beauty,Instagram,18 259.16,-2879,,,545491,
u   nknown,MADRID %,Pure_Clean_Toner,furniture,tiktok%,4009.53,-433,6324,??,0,15/11/2099
BRAZIL ,Madrid,hydracream,skincare,E-MAil,,212791,11110,"0,2105",-40,21-05-2023xx
Germany,Berlin,GLOwseruM!!,electronics,E-mail,$13973.21,N/A,2054893,"0,1746",115,Aug 6 2023
Canada,B   3rlin,Gl0wSerum$,skincare,FB,20667.01 €,209073,17507,0.0525,203337,2023-01-17
   Brasil,S√£o Paulo,hyDrAcReaM,electronics,email,8561.41 €,N/A,,??,beaucoup,7/14/2099
brazil?,Tokyo_,gl0wserUm,electronics,INSTAGRAM,$6058.45,N/A,10470,0.3401,-20,
Canada,Paris,hydracream!!,Beauty ,Email,24297.68 €,-2297,10740,0.3295,-40,23/10/2099
Germny,toRONTO,HyDRA_crEAM,Beauty ,TikTok!!,,,19289,18.8%,-5,
Jappan$,P   ARIS   ,HydraCream,beauty,tik_tok,24 243.54,N/A,2544,??,0,Sep 1 2023
Germany,paris#,HYDRA CREAM   ,,facebook,432.43,N/A,2654103,,514459,Dec 23 2025
  ITALy,sao_paulo,   GlowSerum!!,Skincare,facebook!!,12563.15,,1379009,??,0,01-12-2025xx
N/A,Rome!!,GlowSerum,Skincare,Billboard,2352.34,420440,5521,20.7%,-7,22/06/24
